"Aircraft: Airline/Operator","Aircraft: Make/Model","Aircraft: Type","Airport: Name","Altitude bin","Conditions: Precipitation","Conditions: Sky","Effect: Impact to flight","Effect: Indicated Damage","Effect: Other","FlightDate","Number of human fatalities","Number of people injured","Origin State","Remarks","When: Phase of flight","When: Time of day","Wildlife: Number struck","Wildlife: Size","Wildlife: Species","Aircraft: Flight Number","Aircraft: Number of engines?","Cost: Other (inflation adj)","Cost: Repair (inflation adj)","Cost: Total $","Feet above ground","Miles from airport","Number of Records","Record ID","Speed (IAS) in knots"
"VANGUARD AIRLINES","B-737-200","Airplane","KANSAS CITY INTL","< 1000 ft","None","Some Cloud","None","No damage",,6/17/2001 0:00,,,"Missouri","BIRD ID BY SMITHSONIAN FAA 107. BIRD ORIGINALLY REPTD AS SML BLACKBIRD. INGESTION.","Landing Roll","Day",1,"Small","Eastern meadowlark",,2,0,0,0,0,0,1,"202,732",
"VANGUARD AIRLINES","B-737-200","Airplane","DENVER INTL AIRPORT","< 1000 ft","None","No Cloud","None","No damage",,5/25/2001 0:00,,,"Colorado","POSSIBLE HAWK, MED SIZE, BROWN BIRD. FLT 303. NO DMG.","Landing Roll","Day",1,"Medium","Unknown bird - medium",,2,0,0,0,0,0,1,"207,979",135
"VANGUARD AIRLINES","B-737","Airplane","KANSAS CITY INTL","< 1000 ft","None","Some Cloud","None","No damage",,10/13/2000 0:00,,,"Missouri",,"Landing Roll","Day","2 to 10","Small","American kestrel",,2,0,0,0,0,0,1,"205,661",140
"VANGUARD AIRLINES","B-737-200","Airplane","DENVER INTL AIRPORT","< 1000 ft","None","No Cloud","None","No damage",,7/29/2000 0:00,,,"Colorado",,"Take-off run","Dusk",1,"Small","Unknown bird - small",,2,0,0,0,0,0,1,"203,115",110
"VANGUARD AIRLINES","B-737-200","Airplane","KANSAS CITY INTL","< 1000 ft","None","Overcast","None","No damage",,7/16/2000 0:00,,,"Missouri",,"Landing Roll","Dusk",1,"Medium","Unknown bird - medium",,2,0,0,0,0,0,1,"201,175",90
"VANGUARD AIRLINES","B-737-200","Airplane","DENVER INTL AIRPORT","< 1000 ft","None","No Cloud","None","No damage",,7/2/2000 0:00,,,"Colorado",,"Landing Roll","Day",1,"Medium","Unknown bird - medium",,2,0,0,0,0,0,1,"207,631",150
"VANGUARD AIRLINES","B-737-200","Airplane","CHICAGO MIDWAY INTL ARPT","> 1000 ft","None","Some Cloud",,"No damage",,6/19/2000 0:00,,,"Illinois","CO/P SIDE WINDOW NEEDED INSPN.","Climb","Day",1,,"Blackbirds",,2,0,0,0,"3,000",,1,"204,979",220
"USA JET AIRLINES","RKWL SABRLNR","Airplane","WAUKEGAN REGIONAL ARPT","< 1000 ft",,,"None","No damage",,4/22/2001 0:00,,,"Illinois","NO DMG REPTD.","Take-off run","Day",1,"Medium","Unknown bird - medium",,2,0,0,0,0,0,1,"204,594",
"USA JET AIRLINES","DC-9-30","Airplane","WILLOW RUN ARPT","> 1000 ft","None","No Cloud","None","No damage",,12/12/2000 0:00,,,"Michigan","HIT NOSE UNDER L WINDSCREEN, L WING UNDER WING ROOTS, AND MIDWAY ON SLAT AND LE UNDER SLAT FLT 208","Approach","Night","2 to 10",,"Geese",,2,0,0,0,"2,400",9,1,"209,068",200
"USA JET AIRLINES","UNKNOWN",,"WILLOW RUN ARPT","< 1000 ft","None","Overcast","None","No damage",,9/15/2000 0:00,,,"Michigan",,"Landing Roll","Day",1,,"Blackbirds",,,0,0,0,0,0,1,"200,670",140
"USA JET AIRLINES","DC-9-10","Airplane","WILLOW RUN ARPT","< 1000 ft","None","No Cloud","None","No damage",,7/24/2000 0:00,,,"Michigan","SPARROW?","Landing Roll","Day",1,"Small","Unknown bird - small",,2,0,0,0,0,0,1,"203,724",125
"USA JET AIRLINES","DC-9-10","Airplane","MBS INTL","< 1000 ft","None","Some Cloud","None","No damage",,7/17/2000 0:00,,,"Michigan",,"Landing Roll","Day","2 to 10",,"Gulls",,2,0,0,0,0,0,1,"201,426",118
"USA JET AIRLINES","DA-20 FALCON","Airplane","WILLOW RUN ARPT","< 1000 ft","None","No Cloud","Aborted Take-off","No damage",,5/25/2000 0:00,,,"Michigan","SAW BIRD GOING DOWN L SIDE OF A/C WAS WE WERE ACCELERATING. LOUD POP WAS HEARD AND T/O ABTD. ALL ENG INDICATIONS OK. RETD TO MAINT FOR BIRD DMG INSPN.","Take-off run","Day",1,"Small","Unknown bird - small",,2,0,0,0,0,0,1,"206,041",100
"US EXPRESS","BA-31 JETSTR","Airplane","PORT COLUMBUS INTL","< 1000 ft","None","No Cloud","None","No damage",,9/15/2000 0:00,,,"Ohio",,"Landing Roll","Day",1,"Small","Mourning dove",,2,0,0,0,0,0,1,"201,306",
"US CUSTOMS AND BORDER PROTECTION","C-550","Airplane","UNKNOWN","Unknown",,,"None","No damage",,7/22/2001 0:00,,,"N/A","REMNANTS FOUND DURING POST FLT INSPN.",,,1,,"Unknown bird",,2,0,0,0,,,1,"269,910",
"US CUSTOMS AND BORDER PROTECTION","C-550","Airplane","UNKNOWN","Unknown",,,"None","Caused damage",,6/14/2001 0:00,,,"N/A","SML DENT ALONG LEADING EDGE OF WING FOUND DURING MX POST FLT INSPN.",,,1,,"Unknown bird",,2,0,0,0,,,1,"269,909",
"US CUSTOMS AND BORDER PROTECTION","AEROS 350","Helicopter","MATHIS FIELD (TX)","Unknown",,,"None","No damage",,4/18/2001 0:00,,,"Texas",,"Descent","Night",1,,"Unknown bird",,1,0,0,0,,,1,"269,908",
"US CUSTOMS AND BORDER PROTECTION","C-550","Airplane","HOMESTEAD AIR RESERVE BASE","Unknown",,,"None","Caused damage",,3/12/2001 0:00,,,"Florida","MINOR SCRATCH ON WINDSHLD.","Approach","Night",1,,"Unknown bird",,2,0,0,0,,,1,"269,907",
"US CUSTOMS AND BORDER PROTECTION","LOCKHEED P3A","Airplane","UNKNOWN","Unknown",,,,"No damage",,1/25/2001 0:00,,,"N/A",,,"Day",1,,"Unknown bird",,,0,0,0,,,1,"269,906",
"US CUSTOMS AND BORDER PROTECTION","C-210 CENTUR","Airplane","NORTH ISLAND NAS (HALSEY FIELD)","< 1000 ft",,,,"No damage",,1/10/2001 0:00,,,"California","ARPT REPTD AS KNZY BUT NO PHASE OF FLIGHT.","Approach","Night",1,,"Unknown bird",,1,0,0,0,600,,1,"269,905",
"US CUSTOMS AND BORDER PROTECTION","UH-60","Helicopter","UNKNOWN","Unknown",,,"None","No damage",,11/1/2000 0:00,,,"N/A","STRIKE FOUND DURING MX INSPN THE FOLLOWING DAY.",,,1,,"Unknown bird",,2,0,0,0,,,1,"269,904",
"US CUSTOMS AND BORDER PROTECTION","LOCKHEED P3","Airplane","CORPUS CHRISTI NAS/TRUAX FIELD","< 1000 ft",,,"Precautionary Landing","No damage",,8/28/2000 0:00,,,"Texas",,"Climb","Day",1,,"Unknown bird",,4,0,0,0,800,,1,"269,903",160
"US CUSTOMS AND BORDER PROTECTION","C-550","Airplane","UNKNOWN","Unknown",,,"Precautionary Landing","No damage",,8/26/2000 0:00,,,"New Mexico",,"En Route","Night",1,,"Unknown bird",,2,0,0,0,,,1,"269,902",
"US CUSTOMS AND BORDER PROTECTION","HUGHES 500","Helicopter","UNKNOWN","< 1000 ft","None","Some Cloud","None","Caused damage",,8/14/2000 0:00,,,"Texas","BROW STRAP ON UPPER LEFT CANOPY WAS DENTED AND HAD FLESH EMBEDDED UNDER THE ALUMINUM. BIRDS TRAVELLED DOWN THE TAILBOOM BUT MISSED THE TAILROTOR.  MISSION WASA NIGHT VISION GOGGLE AND FLIR OPERATION.","En Route","Night","2 to 10","Large","Brown pelican",,1,0,0,0,900,,1,"207,156",70
"US CUSTOMS AND BORDER PROTECTION","C-550","Airplane","UNKNOWN","Unknown",,,"None","No damage",,6/21/2000 0:00,,,"N/A","STRIKE DISCOVERED DURING MX POST FLT INSPN.",,,1,,"Unknown bird",,2,0,0,0,,,1,"269,901",
"US CUSTOMS AND BORDER PROTECTION","LOCKHEED P3A","Airplane","CORPUS CHRISTI NAS/TRUAX FIELD","Unknown",,,"None","No damage",,6/15/2000 0:00,,,"Texas",,"Approach","Day",1,,"Unknown bird",,,0,0,0,,,1,"269,900",
"US CUSTOMS AND BORDER PROTECTION","LOCKHEED P3B","Airplane","CORPUS CHRISTI NAS/TRUAX FIELD","> 1000 ft",,,"Precautionary Landing","No damage",,5/18/2000 0:00,,,"Texas","PHASE OF FLT NOT REPTD.",,"Day",1,,"Unknown bird",,,0,0,0,"5,000",,1,"269,899",190
"US CUSTOMS AND BORDER PROTECTION","C-210 CENTUR","Airplane","WILEY POST ARPT","< 1000 ft","None","No Cloud","None","Caused damage",,5/18/2000 0:00,,,"Oklahoma","BLACK BIRD, POSSIBLY A CROW. WARNED OF MOWER & BIRDS ON EAST SIDE OF RWY. DID NOT HEAR OR FEEL STRIKE. NOTICED DAMAGE TO LE OF HORIZ STAB ON POST FLT INSPN. PIC FLEW THE C-210 20 MILES BACK TO MX FACILITY W/O INCIDENT.","Climb","Day",1,"Large","Unknown bird - medium",,1,0,0,0,20,0,1,"202,374",100
"US CUSTOMS AND BORDER PROTECTION","C-210 CENTUR","Airplane","UNKNOWN","< 1000 ft",,,"Precautionary Landing","Caused damage",,3/31/2000 0:00,,,"Texas","DENT IN LEADING EDGE OF WING.","En Route","Night",1,,"Unknown bird",,1,0,"1,137","1,137",600,,1,"269,898",
"US CUSTOMS AND BORDER PROTECTION","C-550","Airplane","UNKNOWN","< 1000 ft",,,"Other","Caused damage","DECREASED SPEED",1/1/2000 0:00,,,"Florida","SAW BIRD GO PAST RHS WINDSHLD THEN HEARD A THUMP. PIC IN R SEAT NOTED DMG ON LE OF RT WING. ALL TEMPS AND RPMS OK SO WE  CONTD TO HST. NOTIFIED TWR & LANDED W/O INCIDENT. AFTER STRIKE  SLOWED A/C TO 150 KTS. MIAMI METRO AREA HAS LANDFILL IN AREA OF OUR ST","En Route","Day",1,"Large","Unknown bird - large",,2,0,0,0,"1,000",,1,"203,122",200
"US AIRWAYS*","MD-80","Airplane","HARRISBURG INTL","< 1000 ft","None","No Cloud","None","No damage",,8/8/2001 0:00,,,"Pennsylvania","# BIRDS STRUCK NOT REPTD, ASSUME 1.","Take-off run","Day",1,,"Sparrows",,2,0,0,0,0,0,1,"204,745",135
"US AIRWAYS*","A-320","Airplane","GREATER PITTSBURGH","< 1000 ft","None","No Cloud","None","No damage",,8/7/2001 0:00,,,"Pennsylvania","NO DMG. PILOT WAS NOT SURE IF THEY HIT THE A/C. ACAA FOUND BIRD PARTS ON RWY. MEADOWLARK? FLT 181.","Landing Roll","Day",1,"Small","Unknown bird - small",,2,0,0,0,0,0,1,"206,702",100
"US AIRWAYS*","B-737-200","Airplane","TAMPA INTL","< 1000 ft","None","No Cloud","None","No damage",,8/6/2001 0:00,,,"Florida",,"Landing Roll","Day",1,,"Gulls",,2,0,0,0,0,0,1,"202,186",120
"US AIRWAYS*","B-737-300","Airplane","UNKNOWN","Unknown",,,,"No damage",,8/5/2001 0:00,,,"N/A","CORE INGESTION",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"211,421",
"US AIRWAYS*","B-737-300","Airplane","PHILADELPHIA INTL","< 1000 ft","None","No Cloud","None","No damage",,8/5/2001 0:00,,,"Pennsylvania","ROBIN SIZED BIRD WAS INGESTED INTO COMPRESSOR. BORESCOPE. NO DMG.","Landing Roll","Dusk",1,"Medium","Unknown bird - medium",,2,0,0,0,0,0,1,"209,737",
"US AIRWAYS*","B-737-300","Airplane","CHARLOTTE/DOUGLAS INTL ARPT","< 1000 ft","None","Some Cloud","None","No damage",,8/3/2001 0:00,,,"North Carolina","BIRD HIT UPPER RHS RADOME. NO DMG REPTD.","Approach","Day",1,"Small","Unknown bird - small",,2,0,0,0,200,,1,"216,077",150
"US AIRWAYS*","A-320","Airplane","CHARLOTTE/DOUGLAS INTL ARPT","< 1000 ft","None","Some Cloud","None","No damage",,8/3/2001 0:00,,,"North Carolina",,"Approach","Day",1,"Small","Unknown bird - small",,2,0,0,0,100,,1,"208,172",
"US AIRWAYS*","B-737-400","Airplane","PHILADELPHIA INTL","< 1000 ft","None","Some Cloud","Aborted Take-off","No damage",,7/31/2001 0:00,,,"Pennsylvania","NO DMG. HIT BELOW CAPT'S SIDE WINDOW. PIGEONS OR DOVES.","Take-off run","Day",1,,"Mourning dove",,2,0,0,0,0,0,1,"209,398",110
"US AIRWAYS*","MD-80","Airplane","GREATER PITTSBURGH","< 1000 ft","Fog","Overcast","None","No damage",,7/31/2001 0:00,,,"Pennsylvania",,"Approach","Dawn",1,,"Blackbirds",,2,0,0,0,200,,1,"211,121",115
"US AIRWAYS*","B-737-300","Airplane","INDIANAPOLIS INTL","< 1000 ft","None","Some Cloud","None","No damage",,7/29/2001 0:00,,,"Indiana","NO DMG.","Climb","Dusk",1,"Small","European starling",,2,0,0,0,100,,1,"214,245",
"US AIRWAYS*","FOKKER F100","Airplane","LEHIGH VALLEY INTL","< 1000 ft","None","No Cloud","None","No damage",,7/29/2001 0:00,,,"Pennsylvania",,"Take-off run","Day",1,"Small","Unknown bird - small",,2,0,0,0,0,0,1,"210,665",100
"US AIRWAYS*","UNKNOWN",,"INDIANAPOLIS INTL","< 1000 ft","None","Some Cloud","None","No damage",,7/29/2001 0:00,,,"Indiana",,"Climb","Dusk",1,"Small","Killdeer",,,0,0,0,100,,1,"215,676",
"US AIRWAYS*","UNKNOWN",,"PHILADELPHIA INTL","Unknown","None","Some Cloud","None","No damage",,7/28/2001 0:00,,,"Pennsylvania","FLT 2143. # BIRDS NOT REPTD, ASSUME 1. PART NOT REPTD.","Approach","Dusk",1,"Medium","Unknown bird - medium",,,0,0,0,,,1,"211,072",
"US AIRWAYS*","B-737-300","Airplane","PHILADELPHIA INTL","< 1000 ft","None","Overcast","None","Caused damage",,7/28/2001 0:00,,,"Pennsylvania","SMALL DENTS IN WING. SWAPPED AIRCRAFT. BIRD REPTD AS GOOSE, ASSUME CAGO.","Approach","Dusk","2 to 10","Large","Canada goose",,2,0,0,0,50,,1,"210,368",
"US AIRWAYS*","A-320","Airplane","LAGUARDIA NY","< 1000 ft","None","No Cloud","None","No damage",,7/27/2001 0:00,,,"New York",,"Approach","Night",1,"Small","Unknown bird - small",,2,0,0,0,"1,000",,1,"207,788",140
"US AIRWAYS*","B-737-300","Airplane","NEW ORLEANS INTL","< 1000 ft","None","No Cloud","None","No damage",,7/27/2001 0:00,,,"Louisiana","NO DMG","Approach","Day",1,"Small","Unknown bird - small",,2,0,0,0,150,,1,"206,221",
"US AIRWAYS*","MD-80","Airplane","LOGAN INTL","< 1000 ft","None","No Cloud","None","No damage",,7/27/2001 0:00,,,"Massachusetts","FLT CONTD TO BWI. BIRD REPTD AS CORMORANT, ASSUME DCCO.","Take-off run","Day",1,"Large","Double-crested cormorant",,2,0,0,0,0,0,1,"206,881",
"US AIRWAYS*","B-737-400","Airplane","PENSACOLA REGIONAL","Unknown","None","Some Cloud","None","No damage",,7/26/2001 0:00,,,"Florida",,"Approach","Day",1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"212,108",
"US AIRWAYS*","FOKKER F100","Airplane","CHARLOTTE/DOUGLAS INTL ARPT","< 1000 ft","None","Some Cloud","None","No damage",,7/26/2001 0:00,,,"North Carolina",,"Approach","Day",1,"Small","Unknown bird - small",,2,0,0,0,200,,1,"211,365",160
"US AIRWAYS*","B-737-400","Airplane","SYRACUSE HANCOCK INTL","< 1000 ft","None","Some Cloud","None","No damage",,7/25/2001 0:00,,,"New York","INGESTION. CAPT SMELLED BIRD AFTER IT HIT ENG.","Take-off run","Day",1,"Small","Unknown bird - small",,2,0,0,0,0,0,1,"210,874",140
"US AIRWAYS*","B-737-400","Airplane","CHARLOTTE/DOUGLAS INTL ARPT","< 1000 ft","None","Some Cloud","None","No damage",,7/24/2001 0:00,,,"North Carolina","UNSURE WHAT PART STRUCK","Approach","Day",1,"Small","Unknown bird - small",,2,0,0,0,400,,1,"207,080",
"US AIRWAYS*","FOKKER F100","Airplane","GREATER PITTSBURGH","< 1000 ft","None","Some Cloud",,"No damage",,7/24/2001 0:00,,,"Pennsylvania","BIRD HIT CENTER OF RADOME. NO DMG.","Landing Roll","Night",1,"Small","Unknown bird - small",,2,0,0,0,0,0,1,"204,942",80
"US AIRWAYS*","A-319","Airplane","DALLAS/FORT WORTH INTL ARPT","< 1000 ft","None","Some Cloud","None","No damage",,7/23/2001 0:00,,,"Texas","NO DMG. CLEANED REMAINS.","Approach","Day",1,"Medium","Unknown bird - medium",,2,0,0,0,50,,1,"211,071",
"US AIRWAYS*","B-737-400","Airplane","PENSACOLA REGIONAL","< 1000 ft","None","No Cloud","None","No damage",,7/21/2001 0:00,,,"Florida","BIRD INGESTION IN COMPRESOR. NO DMG. (DATA ENTRY NOTE: 3 REPORTS DIFFER ON TIME, ALTITUDE, PHASE,& BIRD)","Landing Roll","Day",1,"Medium","Unknown bird - medium",,2,0,0,0,0,0,1,"209,510",145
"US AIRWAYS*","B-737-200","Airplane","BALTIMORE WASH INTL","< 1000 ft","None","Some Cloud","None","No damage",,7/19/2001 0:00,,,"Maryland","NO DMG. (DATA ENTRY NOTE: HEIGHT GIVEN AS TAKE OFF ROLL BUT PHASE CHECKED WAS CLIMB)","Take-off run","Day",1,"Small","Unknown bird - small",,2,0,0,0,0,0,1,"209,634",135
"US AIRWAYS*","MD-80","Airplane","WILKES-BARRE/SCRANTON INTL","< 1000 ft","None","Some Cloud","None","No damage",,7/18/2001 0:00,,,"Pennsylvania","UNKN WHAT PART WAS STRUCKFLT 375","Take-off run","Day",1,"Large","Turkey vulture",,2,0,0,0,0,0,1,"208,689",
"US AIRWAYS*","A-319","Airplane","GREATER PITTSBURGH","Unknown","None","Some Cloud","None","No damage",,7/17/2001 0:00,,,"Pennsylvania",,"Approach","Day",1,"Small","Unknown bird - small",,2,0,0,0,,,1,"207,985",
"US AIRWAYS*","B-737-400","Airplane","FORT LAUDERDALE/HOLLYWOOD INTL","> 1000 ft","None","Some Cloud","None","No damage",,7/17/2001 0:00,,,"Florida"," # BIRDS STRUCK NOT REPTD, ASSUME 1.","Approach","Day",1,"Medium","Unknown bird - medium",,2,0,0,0,"3,000",,1,"207,984",170
"US AIRWAYS*","A-320","Airplane","CHARLOTTE/DOUGLAS INTL ARPT","< 1000 ft","None","Some Cloud","None","No damage",,7/17/2001 0:00,,,"North Carolina","U178","Approach","Day",1,"Small","Mourning dove",,2,0,0,0,30,,1,"214,402",140
"US AIRWAYS*","B-737-400","Airplane","NEW ORLEANS INTL","< 1000 ft","None","No Cloud","None","Caused damage",,7/17/2001 0:00,,,"Louisiana","BIRD(S) INGESTION INTO CORE. FUEL NOZZLE DAMAGE. ENG CHANGED ON 7/19. ID BY WS.","Approach","Day",1,"Small","European starling",,2,0,0,0,200,,1,"209,262",145
"US AIRWAYS*","FOKKER F100","Airplane","GREATER PITTSBURGH","< 1000 ft","None","Some Cloud","None","No damage",,7/16/2001 0:00,,,"Pennsylvania",,"Approach","Dusk",1,"Small","Unknown bird - small",,2,0,0,0,50,,1,"206,805",
"US AIRWAYS*","A-320","Airplane","LAGUARDIA NY","< 1000 ft","None","No Cloud","None","No damage",,7/16/2001 0:00,,,"New York","F/O WINDSHLD. SMUDGE. NO DMG.","Approach","Day",1,"Small","Unknown bird - small",,2,0,0,0,20,,1,"204,489",130
"US AIRWAYS*","B-737-200","Airplane","LAGUARDIA NY","< 1000 ft","None","No Cloud","None","No damage",,7/16/2001 0:00,,,"New York","BIRD HIT L FUSELAGE AT PILOT'S FOOT. NO DMG. REPTD.","Approach","Day",1,"Medium","Unknown bird - medium",,2,0,0,0,150,,1,"210,078",130
"US AIRWAYS*","B-737-300","Airplane","TORONTO/LESTER B. PEARSON INTL","< 1000 ft","None","No Cloud","None","No damage",,7/14/2001 0:00,,,"Ontario","NO DMG. REPTD AS DOVE, ASSUME MOURNING.","Approach","Day",1,"Small","Mourning dove",,2,0,0,0,500,,1,"209,229",200
"US AIRWAYS*","A-319","Airplane","DALLAS/FORT WORTH INTL ARPT","< 1000 ft","None","Some Cloud","None","No damage",,7/14/2001 0:00,,,"Texas","ON TOUCHDOWN BIRD HIT LWR RT CORNER OF F/O WINDSHLD. NO DMG. FLT 1549","Landing Roll","Day",1,"Medium","Unknown bird - medium",,2,0,0,0,0,0,1,"210,405",
"US AIRWAYS*","B-737","Airplane","LAGUARDIA NY","< 1000 ft",,,,"No damage",,7/14/2001 0:00,,,"New York","STRUCK  DURING DEPARTURE, MIGHT HAVE BEEN CLIMB PHASE, REPT NOT CLEAR.","Take-off run","Dusk",1,"Medium","Unknown bird - medium",,2,0,0,0,0,0,1,"212,975",
"US AIRWAYS*","B-737-200","Airplane","PALM BEACH INTL","< 1000 ft","None","Some Cloud","None","No damage",,7/12/2001 0:00,,,"Florida",,"Take-off run","Day",1,"Small","Unknown bird - small",,2,0,0,0,0,0,1,"209,868",145
"US AIRWAYS*","A-320","Airplane","PHILADELPHIA INTL","< 1000 ft","None","Some Cloud","None","No damage",,7/10/2001 0:00,,,"Pennsylvania","BIRD HIT FRAMING ABOVE CAPT'S WINDSHLD. NO DMG.","Approach","Night",1,"Small","Unknown bird - small",,2,0,0,0,50,,1,"207,903",150
"US AIRWAYS*","MD-80","Airplane","GREENVILLE-SPARTANBURG INTL","< 1000 ft","None","No Cloud","None","No damage",,7/10/2001 0:00,,,"South Carolina","SPARROW? (SMALL BIRD) (DATA ENTRY NOTE: REPORTS DIFFER AS TO ALT: 1500 AGL AND SURFACE, ALSO PART STRUCK DIFFERS, RADOME VS FUSELAGE)","Take-off run","Day",1,"Small","Unknown bird - small",,2,0,0,0,0,0,1,"208,341",80
"US AIRWAYS*","A-320","Airplane","PHILADELPHIA INTL","< 1000 ft","None","No Cloud","None","No damage",,7/9/2001 0:00,,,"Pennsylvania","REPTD TO TRACON. A/C NOT INSPCTD AS OF THIS TIME.","Approach","Night",1,"Small","Unknown bird - small",,2,0,0,0,50,,1,"208,408",150
"US AIRWAYS*","DC-9","Airplane","MONTREAL/PIERRE-ELLIOTT-TRUDEAU INTL","< 1000 ft","None","Some Cloud","None","No damage",,7/7/2001 0:00,,,"Quebec","NO DMG. DARK BIRD. PHASE REPTD AS CLIMB BUT ALT WAS ZERO.","Take-off run","Day",1,"Small","Unknown bird - small",,2,0,0,0,0,0,1,"213,675",150
"US AIRWAYS*","B-737-400","Airplane","SYRACUSE HANCOCK INTL","< 1000 ft","None","Some Cloud","None","No damage",,7/5/2001 0:00,,,"New York","HIT F/O WINDSHLD. INSPN. NO DMG. SML BIRD LIKE WREN.","Take-off run","Day",1,"Small","Unknown bird - small",,2,0,0,0,0,0,1,"208,685",133
"US AIRWAYS*","B-737-400","Airplane","CHARLOTTE/DOUGLAS INTL ARPT","< 1000 ft","None","No Cloud","None","No damage",,7/5/2001 0:00,,,"North Carolina","HIT F/O WINDSHLD.","Approach","Day",1,"Small","Unknown bird - small",,2,0,0,0,20,,1,"208,212",130
"US AIRWAYS*","A-319","Airplane","SOUTHWEST FLORIDA INTL ARPT","< 1000 ft","None","Some Cloud","None","No damage",,7/5/2001 0:00,,,"Florida",,"Landing Roll","Night",1,"Large","Raccoon",,2,0,0,0,0,0,1,"212,919",
